crop,track_id,label,manufacturer,chemistry,model,voltage,capacity,marks,n_chars
li_ion_mobile__run44__id015_c0.93.jpg,15,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE;UL;RoHS;recycle",36
li_ion_mobile__run44__id020_c0.95.jpg,20,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CEA;UL",23
li_ion_mobile__run44__id036_c0.93.jpg,36,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run44__id099_c0.89.jpg,99,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run44__id112_c0.94.jpg,112,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run45__id001_c0.95.jpg,1,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","CE;WEEE",35
li_ion_mobile__run45__id005_c0.96.jpg,5,li_ion_mobile,"Huawei","Li-ion","BLC12","3.7V","3000mAh","CE;RoHS",37
li_ion_mobile__run45__id009_c0.94.jpg,9,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_mobile__run45__id013_c0.96.jpg,13,li_ion_mobile,"","Li-ion","B53","11.55V","3600mAh","CE;WEEE",29
li_ion_mobile__run45__id021_c0.94.jpg,21,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE",31
li_ion_mobile__run45__id022_c0.96.jpg,22,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;RoHS",35
li_ion_mobile__run45__id083_c0.90.jpg,83,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;WEEE",31
li_ion_mobile__run45__id088_c0.94.jpg,88,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run46__id001_c0.95.jpg,1,li_ion_mobile,"Panasonic","Li-ion","NCR18650B","3.7V","3400mAh","CE;RoHS",57
li_ion_mobile__run46__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","@",25
li_ion_mobile__run46__id006_c0.95.jpg,6,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run46__id009_c0.96.jpg,9,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run46__id010_c0.96.jpg,10,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run46__id011_c0.96.jpg,11,li_ion_mobile,"","","","","","UL",8
li_ion_mobile__run46__id016_c0.94.jpg,16,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run46__id023_c0.93.jpg,23,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run46__id026_c0.95.jpg,26,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run46__id030_c0.91.jpg,30,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_mobile__run47__id001_c0.94.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run47__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run47__id004_c0.95.jpg,4,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",32
li_ion_mobile__run47__id005_c0.94.jpg,5,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run47__id007_c0.91.jpg,7,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",26
li_ion_mobile__run47__id010_c0.93.jpg,10,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run47__id015_c0.94.jpg,15,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run47__id020_c0.94.jpg,20,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run47__id075_c0.95.jpg,75,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run47__id116_c0.86.jpg,116,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run47__id117_c0.93.jpg,117,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run47__id125_c0.94.jpg,125,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run48__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","A632","3.7V","3600mAh","CE;WEEE",29
li_ion_mobile__run48__id002_c0.96.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run48__id003_c0.95.jpg,3,li_ion_mobile,"SUNWAY","Li-ion","","3.7V","2200mAh","CE;RoHS",33
li_ion_mobile__run48__id004_c0.96.jpg,4,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","UL;RoHS",35
li_ion_mobile__run48__id005_c0.92.jpg,5,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run48__id006_c0.92.jpg,6,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run48__id007_c0.95.jpg,7,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run48__id021_c0.93.jpg,21,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run48__id026_c0.95.jpg,26,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run48__id034_c0.96.jpg,34,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE",19
li_ion_mobile__run48__id058_c0.96.jpg,58,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","BIFIX",29
li_ion_mobile__run48__id070_c0.88.jpg,70,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run49__id001_c0.96.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run49__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run49__id003_c0.44.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run49__id004_c0.25.jpg,4,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run49__id005_c0.96.jpg,5,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE",22
li_ion_mobile__run49__id011_c0.96.jpg,11,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_mobile__run49__id012_c0.90.jpg,12,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run49__id015_c0.93.jpg,15,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run50__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","KOSTAUG","3.7V","2600mAh","CE;WEEE",35
li_ion_mobile__run50__id002_c0.94.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run50__id005_c0.94.jpg,5,li_ion_mobile,"CISCO","Li-ion","","11.55V","3600mAh","CE;RoHS",33
li_ion_mobile__run50__id006_c0.95.jpg,6,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run50__id009_c0.96.jpg,9,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run50__id010_c0.94.jpg,10,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run50__id018_c0.93.jpg,18,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run50__id098_c0.86.jpg,98,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",28
li_ion_mobile__run50__id101_c0.94.jpg,101,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run50__id108_c0.90.jpg,108,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",24
li_ion_mobile__run51__id001_c0.95.jpg,1,li_ion_mobile,"","","","","","",5
li_ion_mobile__run51__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run51__id003_c0.94.jpg,3,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run51__id004_c0.92.jpg,4,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run51__id016_c0.94.jpg,16,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run51__id018_c0.96.jpg,18,li_ion_mobile,"","Li-ion","BQ-82A2R","3.7V","3400mAh","CE;RoHS",35
li_ion_mobile__run51__id026_c0.95.jpg,26,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",24
li_ion_mobile__run51__id083_c0.95.jpg,83,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id094_c0.96.jpg,94,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",26
li_ion_mobile__run51__id095_c0.95.jpg,95,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id101_c0.96.jpg,101,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id105_c0.94.jpg,105,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;RoHS",27
li_ion_mobile__run51__id107_c0.94.jpg,107,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id109_c0.94.jpg,109,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.7V","3000mAh","UL;RoHS",48
li_ion_mobile__run51__id110_c0.96.jpg,110,li_ion_mobile,"SAMSUNG","Li-ion","EB-BN920ABE","3.7V","3000mAh","CE;RoHS",45
li_ion_mobile__run51__id119_c0.89.jpg,119,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run51__id121_c0.94.jpg,121,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run51__id122_c0.96.jpg,122,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id130_c0.93.jpg,130,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id138_c0.93.jpg,138,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id139_c0.95.jpg,139,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run51__id144_c0.94.jpg,144,li_ion_mobile,"","","","","","",5
li_ion_mobile__run51__id147_c0.94.jpg,147,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id149_c0.94.jpg,149,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id164_c0.93.jpg,164,li_ion_mobile,"","Li-ion","K14","11.55V","3600mAh","CE;WEEE;UL;RoHS",35
li_ion_mobile__run51__id165_c0.95.jpg,165,li_ion_mobile,"","","","","","",5
li_ion_mobile__run51__id169_c0.94.jpg,169,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id183_c0.93.jpg,183,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id190_c0.94.jpg,190,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id193_c0.94.jpg,193,li_ion_mobile,"Huawei","Li-ion","HB4268A9EBC","3.7V","3000mAh","CE;RoHS",49
li_ion_mobile__run51__id200_c0.94.jpg,200,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run51__id213_c0.93.jpg,213,li_ion_mobile,"Canon","Li-ion","","11.55V","3600mAh","CE;WEEE",33
li_ion_mobile__run51__id215_c0.94.jpg,215,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run51__id223_c0.92.jpg,223,li_ion_mobile,"Canon","Li-ion","","11.55V","3600mAh","CE;WEEE",33
li_ion_mobile__run51__id226_c0.75.jpg,226,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id233_c0.89.jpg,233,li_ion_mobile,"Canon","Li-ion","","11.55V","3600mAh","CE;WEEE",33
li_ion_mobile__run51__id235_c0.90.jpg,235,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run51__id240_c0.80.jpg,240,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id241_c0.92.jpg,241,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run51__id245_c0.79.jpg,245,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id249_c0.85.jpg,249,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id253_c0.74.jpg,253,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id258_c0.64.jpg,258,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run51__id259_c0.89.jpg,259,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run52__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run52__id002_c0.96.jpg,2,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.7V","3000mAh","UL;RoHS",48
li_ion_mobile__run52__id003_c0.94.jpg,3,li_ion_mobile,"SAMSUNG","Li-ion","EB-BG920ABE","3.7V","3000mAh","CE;RoHS",48
li_ion_mobile__run52__id004_c0.94.jpg,4,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run52__id005_c0.94.jpg,5,li_ion_mobile,"","","","","","CE;WEEE",10
li_ion_mobile__run52__id006_c0.96.jpg,6,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",24
li_ion_mobile__run52__id007_c0.26.jpg,7,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run52__id008_c0.96.jpg,8,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;WEEE",31
li_ion_mobile__run52__id009_c0.93.jpg,9,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run52__id018_c0.94.jpg,18,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run52__id032_c0.93.jpg,32,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;RoHS",31
li_ion_mobile__run52__id034_c0.95.jpg,34,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",27
li_ion_mobile__run52__id041_c0.95.jpg,41,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;RoHS",31
li_ion_mobile__run52__id062_c0.94.jpg,62,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE",20
li_ion_mobile__run52__id074_c0.94.jpg,74,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run52__id075_c0.91.jpg,75,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run52__id080_c0.94.jpg,80,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run53__id001_c0.95.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;RoHS",31
li_ion_mobile__run53__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run53__id003_c0.92.jpg,3,li_ion_mobile,"","Li-ion","","3.2V","41Wh","UL;RoHS",24
li_ion_mobile__run53__id004_c0.93.jpg,4,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run53__id006_c0.96.jpg,6,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run53__id007_c0.94.jpg,7,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.7V","3000mAh","UL;RoHS",48
li_ion_mobile__run53__id008_c0.87.jpg,8,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","CE;RoHS",31
li_ion_mobile__run53__id012_c0.96.jpg,12,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.7V","3000mAh","UL;RoHS",48
li_ion_mobile__run53__id015_c0.96.jpg,15,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",29
li_ion_mobile__run53__id022_c0.93.jpg,22,li_ion_mobile,"Samsung","Li-ion","EB-BN970ABE","3.8V","2600mAh","UL;RoHS",48
li_ion_mobile__run53__id052_c0.88.jpg,52,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run53__id054_c0.85.jpg,54,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run54__id001_c0.93.jpg,1,li_ion_mobile,"","Li-ion","","3.7V","2500mAh","CE;WEEE",31
li_ion_mobile__run54__id002_c0.95.jpg,2,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id003_c0.94.jpg,3,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id004_c0.93.jpg,4,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id005_c0.96.jpg,5,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id006_c0.95.jpg,6,li_ion_mobile,"NETGEAR","Li-ion","","11.55V","41Wh","CE;WEEE",34
li_ion_mobile__run54__id015_c0.94.jpg,15,li_ion_mobile,"","Li-ion","","3.7V","3600mAh","CE;RoHS",31
li_ion_mobile__run54__id016_c0.93.jpg,16,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id017_c0.94.jpg,17,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id025_c0.91.jpg,25,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id027_c0.93.jpg,27,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id045_c0.96.jpg,45,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id051_c0.96.jpg,51,li_ion_mobile,"Samsung","Li-ion","EB-BG930ABE","3.7V","2600mAh","UL;RoHS",45
li_ion_mobile__run54__id054_c0.94.jpg,54,li_ion_mobile,"QXCE","Li-ion","","3.7V","2800mAh","CE;WEEE",44
li_ion_mobile__run54__id079_c0.96.jpg,79,li_ion_mobile,"","Li-ion","BQ50","3.7V","2600mAh","CE;WEEE",29
li_ion_mobile__run54__id088_c0.94.jpg,88,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id089_c0.94.jpg,89,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",31
li_ion_mobile__run54__id096_c0.94.jpg,96,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",32
li_ion_mobile__run54__id102_c0.95.jpg,102,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id108_c0.96.jpg,108,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id111_c0.95.jpg,111,li_ion_mobile,"","Li-ion","B020","3.7V","2600mAh","CE",25
li_ion_mobile__run54__id120_c0.95.jpg,120,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id125_c0.96.jpg,125,li_ion_mobile,"Samsung","Li-ion","","3.7V","2800mAh","CE;WEEE",35
li_ion_mobile__run54__id135_c0.94.jpg,135,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id137_c0.96.jpg,137,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","CE;WEEE",35
li_ion_mobile__run54__id145_c0.94.jpg,145,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id152_c0.95.jpg,152,li_ion_mobile,"TCL","Li-ion","","3.7V","2600mAh","UL;RoHS",27
li_ion_mobile__run54__id163_c0.94.jpg,163,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id164_c0.96.jpg,164,li_ion_mobile,"SAMSUNG","Li-ion","","3.7V","2600mAh","CE",31
li_ion_mobile__run54__id173_c0.94.jpg,173,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id175_c0.95.jpg,175,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id186_c0.95.jpg,186,li_ion_mobile,"Samsung","Li-ion","","3.7V","2600mAh","CE",31
li_ion_mobile__run54__id191_c0.93.jpg,191,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id198_c0.95.jpg,198,li_ion_mobile,"","Li-ion","TCT","3.7V","2600mAh","TCT",24
li_ion_mobile__run54__id200_c0.92.jpg,200,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run54__id203_c0.94.jpg,203,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id210_c0.95.jpg,210,li_ion_mobile,"","Li-ion","B08","3.7V","2200mAh","CE",23
li_ion_mobile__run54__id213_c0.92.jpg,213,li_ion_mobile,"","Li-ion","iUC6640","3.7V","2600mAh","UL",31
li_ion_mobile__run54__id217_c0.95.jpg,217,li_ion_mobile,"TCL","Li-ion","TA800JF","3.7V","2600mAh","CE;RoHS",41
li_ion_mobile__run54__id225_c0.96.jpg,225,li_ion_mobile,"","","","","","CE",6
li_ion_mobile__run54__id227_c0.94.jpg,227,li_ion_mobile,"","Li-ion","NCR1854 24","3.7V","3600mAh","CE;WEEE",39
li_ion_mobile__run54__id234_c0.90.jpg,234,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run54__id239_c0.95.jpg,239,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;RoHS",27
li_ion_mobile__run54__id241_c0.96.jpg,241,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id247_c0.93.jpg,247,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run54__id251_c0.94.jpg,251,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id259_c0.94.jpg,259,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run54__id276_c0.92.jpg,276,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",24
li_ion_mobile__run54__id288_c0.96.jpg,288,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id310_c0.96.jpg,310,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id318_c0.94.jpg,318,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id321_c0.96.jpg,321,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;WEEE",31
li_ion_mobile__run54__id331_c0.95.jpg,331,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id334_c0.96.jpg,334,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
li_ion_mobile__run54__id385_c0.95.jpg,385,li_ion_mobile,"","Li-ion","","3.7V","2200mAh","UL;RoHS",31
li_ion_mobile__run54__id386_c0.94.jpg,386,li_ion_mobile,"","Li-ion","BQ520","3.7V","3000mAh","CE;RoHS",31
li_ion_mobile__run54__id392_c0.95.jpg,392,li_ion_mobile,"ANUSMANS","Li-ion","","3.7V","2200mAh","CE",26
li_ion_mobile__run54__id421_c0.85.jpg,421,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE",25
li_ion_mobile__run54__id422_c0.91.jpg,422,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","UL;RoHS",29
li_ion_mobile__run54__id429_c0.95.jpg,429,li_ion_mobile,"ANUSUNYU","Li-ion","","3.7V","2600mAh","CE;WEEE",37
li_ion_mobile__run54__id430_c0.93.jpg,430,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id440_c0.94.jpg,440,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id441_c0.96.jpg,441,li_ion_mobile,"Samsung","Li-ion","EB-BG920ABE","3.7V","3000mAh","CE;RoHS",48
li_ion_mobile__run54__id456_c0.96.jpg,456,li_ion_mobile,"Samsung","Li-ion","","3.7V","2900mAh","CE",31
li_ion_mobile__run54__id460_c0.96.jpg,460,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",26
li_ion_mobile__run54__id472_c0.94.jpg,472,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id489_c0.91.jpg,489,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id490_c0.94.jpg,490,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id499_c0.95.jpg,499,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id503_c0.94.jpg,503,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id513_c0.94.jpg,513,li_ion_mobile,"","Li-ion","","11.55V","41Wh","CE;WEEE",29
li_ion_mobile__run54__id514_c0.93.jpg,514,li_ion_mobile,"","Li-ion","","11.55V","3600mAh","CE;WEEE",35
li_ion_mobile__run54__id521_c0.92.jpg,521,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",31
li_ion_mobile__run54__id523_c0.92.jpg,523,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",24
li_ion_mobile__run54__id526_c0.83.jpg,526,li_ion_mobile,"","Li-ion","","3.7V","2600mAh","CE;RoHS",28
